date,type,event,description,resources,year,week_number,month_year,weekday,mentions_kim
2024-11-18,Other Provocation,Balloon-floating Trash,"North Korea sent trash-filled balloons toward South Korea, resuming its balloon campaign after about a three-week hiatus. The launch marks 31st occassion of its kind and comes a day after Kim Yo Jong's claim that South Korean leaflets had crossed the border into the North the previous day.",https://m-en.yna.co.kr/view/AEN20241118001000315?section=news,2024,46,11-2024,Monday,False
2024-11-04,Missile Provocation,Short-range Ballistic Missile Launch,"North Korea fired at least 7 short-range ballistic missiles into the Sea of Japan (East Sea) on Tuesday morning, according to Japan's defense ministry. The launch occured a day before the US presidential election and just hours after high-level talks in Moscow between the DPRK foreign minister and Russian leader Vladimir Putin.",https://www.nknews.org/2024/11/north-korea-conducts-apparent-missile-test-on-eve-of-us-election/?t=1730820153,2024,44,11-2024,Monday,False
2024-10-31,Missile Provocation,Intercontinental Ballistic Missile,"North Korea fired a new type of solid-fuel intercontinental ballistic missile (ICBM) toward the East Sea on Thursday, South Korea's military said. The ICBM launch, the first in about a year, was detected at about 7:10 a.m. from the North's Pyongyang area and said it flew about 1,000 kilometers before landing in the East Sea. When fired, ICBMs are capable of striking the U.S. mainland.",https://www.nknews.org/pro/new-north-korean-icbm-delivers-big-political-message-and-likely-bigger-payloads/,2024,43,10-2024,Thursday,False
2024-10-24,Other Provocation,Balloon-floating Trash,"North Korea sent around 20 balloons carrying propaganda leaflets criticizing President Yoon Suk Yeol toward South Korea early Thursday, the Joint Chiefs of Staff said said. The leaflets contained criticism of Yoon and first lady Kim Keon Hee and were found in the presidential compound.",https://en.yna.co.kr/view/AEN20241023011552315,2024,42,10-2024,Thursday,False
2024-10-19,Other Provocation,Balloon-floating Trash,"North Korea sent around 20 trash-filled balloons to South Korea on Saturday morning, the Joint Chiefs of Staff said. This comes as North Korea accused the South of sending propaganda leaflets to its territory on the 18th. Some 10 balloons have been identified in the Gangwon area and this marks the 29th of its kind since Pyongyang began the balloon campaign since late May.",https://news.kbs.co.kr/news/pc/view/view.do?ncd=8085829&ref=A,2024,41,10-2024,Saturday,False
2024-10-15,Other Provocation,Explosion,"The North Korean military conducted detonations, assumed to be aimed at cutting off the Gyeongui and Donghae roads, at around noon and is carrying out additional activities using heavy equipment, the Joint Chiefs of Staff said Tuesday. The detonations took place in areas just 10 meters away from the MDL at 11:49 a.m. on the road along the Gyeongui line and at 12:01 p.m. on the road along the Donghae line, respectively, affecting land routes measuring tens of meters, a JCS official said.",https://en.yna.co.kr/view/AEN20241014004653315?section=nk/nk,2024,41,10-2024,Tuesday,False
2024-10-11,Other Provocation,Balloon-floating Trash,"North Korea sent around 20 trash-filled balloons for the second straight day on Friday, the Joint Chiefs of Staff said. Around 10 bundles from the launched balloons landed in the South Korean territory. It comes as North Korea accuses South Korea of sending drones over its border to drop propaganda leaflets, which th South's military denies. This marks the 28th of its kind since Pyongyang began the balloon campaign since late May.",https://en.yna.co.kr/view/AEN20241011011753320,2024,40,10-2024,Friday,False
2024-10-11,Other Provocation,Balloon-floating Trash,"North Korea launched around 40 balloons likely carrying trash toward South Korea early Friday, the Joint Chiefs of Staff said. This marks the 27th of its kind since Pyongyang began the balloon campaign since late May.",https://en.yna.co.kr/view/AEN20240927006700315?input=tw,2024,40,10-2024,Friday,False
2024-10-08,Other Provocation,Balloon-floating Trash,"North Korea floated some 100 trash-filled balloons toward South Korea early Tuesday, the Joint Chiefs of Staff said. The military said it discovered some 60 trash bundles dropped around parts of Seoul and its surrounding Gyeonggi Province. This marks the 26th of its kind since Pyongyang began the balloon campaign since late May.",https://en.yna.co.kr/view/AEN20241008000351315,2024,40,10-2024,Tuesday,False
2024-10-07,Other Provocation,Balloon-floating Trash,"North Korea launched some 120 trash-filled balloons toward South Korea early Monday, the Joint Chiefs of Staff said. The military discovered some 80 trash bundles dropped around parts of Seoul and its surrounding Gyeonggi Province. This marks the 25th of its kind since Pyongyang began the balloon campaign since late May.",https://en.yna.co.kr/view/AEN20241007000251315?section=nk/nk,2024,40,10-2024,Monday,False
